Season ;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA
2016;21.12.2016;Bayern Munich;RB Leipzig;3;0;H;3;0;H;24;5;11;2;13;13;9;4;1;1;0;1;1,36;5,25;8;1,42;5;7
2016;21.12.2016;FC Koln;Leverkusen;1;1;D;1;1;D;11;18;2;6;7;16;4;5;0;0;0;0;2,75;3,3;2,6;2,85;3,3;2,5
2016;21.12.2016;Hertha;Darmstadt;2;0;H;0;0;D;15;5;5;0;13;15;6;4;1;3;0;0;1,57;3,9;6,25;1,57;3,9;6,25
2016;21.12.2016;Hoffenheim;Werder Bremen;1;1;D;1;0;H;12;10;3;3;11;19;5;9;2;2;0;0;1,62;4;5,5;1,65;4;5,25
2016;21.12.2016;Ingolstadt;Freiburg;1;2;A;0;2;A;17;11;6;5;17;12;6;3;4;2;0;0;2,1;3,3;3,75;2,1;3,4;3,6
2016;20.01.2017;Freiburg;Bayern Munich;1;2;A;1;1;D;11;13;3;5;8;7;1;11;2;2;0;0;13;6,5;1,22;13;6,5;1,22
2016;21.01.2017;Augsburg;Hoffenheim;0;2;A;0;0;D;9;13;2;3;18;14;4;4;2;4;0;0;2,8;3,3;2,6;2,75;3,3;2,6
2016;21.01.2017;Darmstadt;M'gladbach;0;0;D;0;0;D;8;14;2;4;12;16;4;6;1;1;0;0;4;3,6;1,91;4,25;3,5;1,9
2016;21.01.2017;RB Leipzig;Ein Frankfurt;3;0;H;2;0;H;17;4;7;3;8;15;3;3;1;2;0;1;1,62;3,8;6;1,65;3,75;5,5
2016;21.01.2017;Schalke 04;Ingolstadt;1;0;H;0;0;D;15;14;5;3;11;16;7;3;1;0;0;0;1,8;3,6;4,75;1,8;3,6;4,6
2016;21.01.2017;Werder Bremen;Dortmund;1;2;A;0;1;A;9;22;5;8;16;12;3;5;3;1;1;0;6;4,33;1,53;5,75;4,75;1,5
2016;21.01.2017;Wolfsburg;Hamburg;1;0;H;0;0;D;11;11;3;1;15;23;5;3;2;1;0;1;1,85;3,6;4,33;1,9;3,5;4,25
2016;22.01.2017;Leverkusen;Hertha;3;1;H;2;1;H;16;7;9;3;14;15;7;3;0;2;0;0;1,67;3,7;5,5;1,7;3,75;5,25
2016;22.01.2017;Mainz;FC Koln;0;0;D;0;0;D;12;9;5;3;12;10;5;5;1;1;0;0;2,4;3,3;3;2,5;3,3;2,9
2016;27.01.2017;Schalke 04;Ein Frankfurt;0;1;A;0;1;A;12;8;2;1;18;17;3;2;2;1;0;0;1,73;3,6;5,25;1,75;3,6;5
2016;28.01.2017;Darmstadt;FC Koln;1;6;A;0;3;A;10;14;4;7;24;20;3;4;2;4;0;0;3,6;3,3;2,15;3,75;3,3;2,1
2016;28.01.2017;Ingolstadt;Hamburg;3;1;H;2;0;H;15;11;7;3;13;18;1;6;0;2;0;0;2,2;3,2;3,6;2,15;3,25;3,6
2016;28.01.2017;Leverkusen;M'gladbach;2;3;A;2;0;H;13;12;4;7;12;8;9;5;0;0;0;0;1,85;3,6;4,33;1,83;3,7;4,33
2016;28.01.2017;RB Leipzig;Hoffenheim;2;1;H;1;1;D;14;5;5;2;17;16;7;4;3;3;0;1;1,73;3,75;4,8;1,72;3,7;5
2016;28.01.2017;Werder Bremen;Bayern Munich;1;2;A;0;2;A;11;13;4;4;17;16;2;7;4;1;0;0;15;6,5;1,2;15,5;7,25;1,18
2016;28.01.2017;Wolfsburg;Augsburg;1;2;A;1;1;D;11;12;5;5;13;17;5;6;2;2;0;0;1,95;3,5;4;1,95;3,5;3,9
2016;29.01.2017;Freiburg;Hertha;2;1;H;1;0;H;11;11;4;2;11;8;6;4;0;2;0;0;2,5;3,25;2,9;2,45;3,4;2,9
2016;29.01.2017;Mainz;Dortmund;1;1;D;0;1;A;9;13;1;4;13;13;2;4;2;1;0;0;5,25;4,2;1,62;5,25;4,1;1,62
2016;03.02.2017;Hamburg;Leverkusen;1;0;H;0;0;D;11;5;3;0;13;23;4;3;0;3;0;0;3,1;3,3;2,35;3,1;3,4;2,3
